no,Q1,P1,Q2,P2,Q3,P3,Q4,P4,Q5,P5,Q6,P6,Q7,P7,Q8,P8,Q9,P9,Q10,P10,Q11,P11,Q12,P12,Total,CustomerId,Classification
48,4,5,4,5,1,5,3,5,3,5,4,7,4,7,2,3,1,1,2,3,2,1,1,0,47,49,Assertive
49,3,1,1,1,2,2,2,3,5,9,3,5,1,1,3,5,1,1,2,3,2,1,2,1,33,50,Balanced
50,6,1,4,5,3,1,4,7,2,3,3,5,2,3,3,5,3,5,3,5,2,1,2,1,42,51,Assertive
51,3,1,2,2,3,1,2,3,3,5,2,3,1,1,3,5,5,9,1,1,1,0,2,1,32,52,Balanced
52,5,3,3,3,3,1,3,5,4,7,4,7,2,3,4,7,4,7,3,5,2,1,1,0,49,53,Assertive
53,6,1,3,3,1,5,2,3,4,7,1,1,4,7,1,1,4,7,1,1,2,1,2,1,38,54,Balanced
54,1,5,4,5,2,2,2,3,1,1,4,7,3,5,4,7,5,9,2,3,2,1,1,0,48,55,Assertive
55,1,5,3,3,1,5,4,7,5,9,3,5,2,3,2,3,1,1,2,3,1,0,1,0,44,56,Assertive
56,4,5,1,1,2,2,1,1,5,9,2,3,1,1,4,7,1,1,3,5,1,0,2,1,36,57,Balanced
57,5,3,5,7,2,2,2,3,3,5,1,1,2,3,2,3,3,5,1,1,1,0,1,0,33,58,Balanced
58,5,3,5,7,2,2,3,5,3,5,1,1,2,3,2,3,3,5,2,3,1,0,2,1,38,59,Balanced
59,6,1,1,1,2,2,3,5,3,5,4,7,3,5,1,1,4,7,3,5,1,0,2,1,40,60,Balanced
60,4,5,4,5,1,5,3,5,5,9,3,5,1,1,4,7,2,3,2,3,2,1,2,1,50,61,Assertive
61,3,1,1,1,1,5,1,1,5,9,2,3,4,7,2,3,4,7,4,7,1,0,1,0,44,62,Assertive
62,2,3,3,3,3,1,3,5,4,7,1,1,4,7,3,5,1,1,4,7,1,0,1,0,40,63,Balanced
63,5,3,1,1,3,1,4,7,5,9,3,5,3,5,4,7,3,5,2,3,1,0,2,1,47,64,Assertive
64,4,5,5,7,3,1,2,3,2,3,2,3,4,7,1,1,3,5,2,3,2,1,2,1,40,65,Balanced
65,1,5,3,3,1,5,4,7,5,9,2,3,2,3,1,1,2,3,2,3,2,1,1,0,43,66,Assertive
66,2,3,1,1,1,5,4,7,3,5,4,7,1,1,1,1,2,3,2,3,1,0,1,0,36,67,Balanced
67,5,3,3,3,2,2,4,7,3,5,1,1,3,5,1,1,4,7,2,3,2,1,2,1,39,68,Balanced
68,2,3,2,2,2,2,1,1,1,1,2,3,2,3,4,7,3,5,1,1,1,0,1,0,28,69,Balanced
69,1,5,4,5,3,1,2,3,4,7,4,7,2,3,3,5,4,7,3,5,2,1,2,1,50,70,Assertive
70,4,5,5,7,3,1,3,5,3,5,3,5,1,1,3,5,2,3,1,1,1,0,1,0,38,71,Balanced
71,6,1,3,3,2,2,3,5,2,3,2,3,3,5,2,3,1,1,4,7,2,1,2,1,35,72,Balanced
72,6,1,3,3,2,2,3,5,3,5,3,5,3,5,1,1,4,7,3,5,1,0,1,0,39,73,Balanced
73,2,3,4,5,1,5,2,3,1,1,4,7,2,3,3,5,2,3,1,1,1,0,2,1,37,74,Balanced
74,5,3,4,5,3,1,4,7,2,3,1,1,4,7,4,7,2,3,2,3,2,1,2,1,42,75,Assertive
75,4,5,2,2,3,1,1,1,4,7,4,7,4,7,3,5,4,7,3,5,1,0,1,0,47,76,Assertive
76,2,3,3,3,3,1,2,3,2,3,3,5,1,1,1,1,4,7,1,1,2,1,2,1,30,77,Balanced
77,3,1,4,5,1,5,3,5,1,1,3,5,4,7,1,1,2,3,4,7,1,0,1,0,40,78,Balanced
78,6,1,2,2,1,5,1,1,3,5,4,7,4,7,3,5,4,7,4,7,2,1,2,1,49,79,Assertive
79,6,1,2,2,2,2,1,1,4,7,1,1,3,5,1,1,3,5,1,1,2,1,1,0,27,80,Balanced
80,2,3,3,3,2,2,2,3,1,1,4,7,4,7,1,1,3,5,1,1,1,0,2,1,34,81,Balanced
81,3,1,4,5,1,5,3,5,4,7,4,7,4,7,1,1,3,5,3,5,1,0,2,1,49,82,Assertive
82,3,1,1,1,3,1,1,1,2,3,2,3,3,5,4,7,2,3,1,1,1,0,1,0,26,83,Conservative
83,6,1,3,3,3,1,2,3,1,1,4,7,4,7,2,3,1,1,3,5,2,1,2,1,34,84,Balanced
84,3,1,4,5,3,1,1,1,1,1,1,1,3,5,1,1,1,1,4,7,2,1,1,0,25,85,Conservative
85,2,3,2,2,2,2,1,1,3,5,3,5,2,3,3,5,2,3,3,5,1,0,1,0,34,86,Balanced
86,1,5,4,5,3,1,1,1,1,1,3,5,1,1,3,5,5,9,2,3,2,1,2,1,38,87,Balanced
87,2,3,1,1,3,1,1,1,5,9,2,3,3,5,2,3,3,5,2,3,2,1,2,1,36,88,Balanced
88,3,1,1,1,2,2,3,5,1,1,4,7,4,7,4,7,1,1,1,1,1,0,2,1,34,89,Balanced
89,5,3,2,2,3,1,3,5,3,5,1,1,3,5,4,7,1,1,3,5,1,0,2,1,36,90,Balanced
90,1,5,4,5,2,2,1,1,4,7,2,3,1,1,2,3,1,1,1,1,2,1,1,0,30,91,Balanced
91,6,1,2,2,2,2,4,7,5,9,1,1,1,1,4,7,1,1,3,5,1,0,2,1,37,92,Balanced
92,4,5,3,3,2,2,1,1,2,3,2,3,3,5,2,3,1,1,3,5,1,0,2,1,32,93,Balanced
93,3,1,1,1,2,2,2,3,5,9,1,1,2,3,2,3,3,5,3,5,1,0,2,1,34,94,Balanced
94,6,1,2,2,2,2,2,3,4,7,3,5,3,5,3,5,2,3,1,1,2,1,2,1,36,95,Balanced
95,4,5,5,7,1,5,2,3,4,7,4,7,3,5,2,3,1,1,3,5,2,1,2,1,50,96,Assertive
96,3,1,4,5,3,1,2,3,2,3,3,5,1,1,3,5,5,9,4,7,1,0,2,1,41,97,Balanced
97,3,1,5,7,2,2,2,3,5,9,4,7,1,1,1,1,4,7,4,7,2,1,2,1,47,98,Assertive
98,5,3,5,7,2,2,1,1,5,9,4,7,1,1,4,7,2,3,2,3,1,0,1,0,43,99,Assertive
99,4,5,5,7,3,1,4,7,3,5,3,5,4,7,1,1,2,3,2,3,1,0,2,1,45,100,Assertive
100,6,1,2,2,1,5,1,1,4,7,1,1,4,7,1,1,5,9,1,1,1,0,1,0,35,101,Balanced
101,6,1,4,5,3,1,4,7,5,9,2,3,2,3,1,1,1,1,1,1,2,1,1,0,33,102,Balanced
102,2,3,4,5,1,5,2,3,2,3,2,3,2,3,1,1,2,3,2,3,1,0,1,0,32,103,Balanced
103,6,1,5,7,3,1,4,7,1,1,2,3,3,5,4,7,3,5,4,7,1,0,1,0,44,104,Assertive
104,6,1,4,5,2,2,2,3,2,3,4,7,3,5,4,7,1,1,2,3,2,1,1,0,38,105,Balanced
105,2,3,3,3,3,1,4,7,1,1,4,7,2,3,3,5,5,9,3,5,1,0,1,0,44,106,Assertive
106,1,5,1,1,3,1,4,7,1,1,4,7,4,7,3,5,5,9,3,5,1,0,2,1,49,107,Assertive
107,4,5,2,2,2,2,1,1,4,7,3,5,4,7,2,3,2,3,4,7,1,0,2,1,43,108,Assertive
108,1,5,2,2,2,2,1,1,5,9,3,5,3,5,3,5,5,9,1,1,1,0,2,1,45,109,Assertive
109,1,5,3,3,1,5,4,7,1,1,3,5,4,7,3,5,1,1,2,3,2,1,2,1,44,110,Assertive
110,1,5,2,2,1,5,2,3,1,1,1,1,1,1,2,3,4,7,1,1,2,1,1,0,30,111,Balanced
111,4,5,3,3,2,2,3,5,4,7,4,7,3,5,1,1,2,3,1,1,2,1,2,1,41,112,Balanced
112,2,3,1,1,2,2,4,7,3,5,4,7,1,1,3,5,2,3,2,3,1,0,1,0,37,113,Balanced
113,2,3,5,7,2,2,3,5,3,5,1,1,1,1,4,7,2,3,2,3,2,1,1,0,38,114,Balanced
114,5,3,2,2,3,1,4,7,1,1,1,1,3,5,4,7,1,1,4,7,2,1,2,1,37,115,Balanced
115,1,5,5,7,1,5,4,7,1,1,4,7,3,5,4,7,4,7,3,5,1,0,2,1,57,116,Aggressive
116,5,3,4,5,1,5,4,7,5,9,2,3,4,7,3,5,1,1,4,7,2,1,2,1,54,117,Aggressive
117,1,5,1,1,1,5,1,1,3,5,2,3,2,3,2,3,1,1,2,3,1,0,2,1,31,118,Balanced
118,1,5,1,1,1,5,2,3,2,3,2,3,2,3,3,5,1,1,3,5,2,1,1,0,35,119,Balanced
119,2,3,4,5,2,2,4,7,5,9,2,3,3,5,4,7,3,5,3,5,1,0,1,0,51,120,Assertive
120,1,5,5,7,1,5,1,1,3,5,2,3,1,1,3,5,1,1,4,7,2,1,2,1,42,121,Assertive
121,6,1,4,5,3,1,2,3,1,1,4,7,2,3,2,3,4,7,3,5,1,0,1,0,36,122,Balanced
122,3,1,4,5,1,5,4,7,2,3,2,3,1,1,3,5,1,1,2,3,1,0,1,0,34,123,Balanced
123,3,1,5,7,2,2,3,5,5,9,4,7,3,5,1,1,2,3,2,3,2,1,1,0,44,124,Assertive
124,3,1,1,1,2,2,3,5,5,9,1,1,4,7,4,7,1,1,2,3,2,1,1,0,38,125,Balanced
125,2,3,2,2,3,1,1,1,2,3,3,5,2,3,2,3,2,3,3,5,1,0,2,1,30,126,Balanced
126,5,3,5,7,3,1,4,7,5,9,1,1,1,1,1,1,3,5,3,5,2,1,1,0,41,127,Balanced
127,6,1,2,2,2,2,3,5,2,3,3,5,3,5,3,5,4,7,4,7,1,0,1,0,42,128,Assertive
128,5,3,1,1,1,5,4,7,5,9,2,3,2,3,3,5,1,1,3,5,1,0,1,0,42,129,Assertive
129,5,3,1,1,2,2,3,5,5,9,4,7,2,3,2,3,2,3,2,3,1,0,2,1,40,130,Balanced
130,2,3,2,2,1,5,4,7,3,5,3,5,1,1,4,7,3,5,1,1,1,0,2,1,42,131,Assertive
131,4,5,4,5,2,2,3,5,5,9,2,3,1,1,4,7,4,7,3,5,1,0,1,0,49,132,Assertive
132,5,3,3,3,3,1,2,3,2,3,1,1,2,3,2,3,4,7,2,3,1,0,1,0,30,133,Balanced
133,3,1,2,2,2,2,1,1,1,1,2,3,4,7,4,7,4,7,3,5,2,1,2,1,38,134,Balanced
134,5,3,3,3,3,1,2,3,4,7,1,1,2,3,2,3,3,5,4,7,1,0,1,0,36,135,Balanced
135,4,5,2,2,2,2,4,7,2,3,4,7,4,7,3,5,3,5,4,7,2,1,1,0,51,136,Assertive
136,2,3,2,2,2,2,2,3,3,5,2,3,4,7,3,5,4,7,4,7,2,1,1,0,45,137,Assertive
137,2,3,4,5,2,2,3,5,1,1,3,5,4,7,4,7,4,7,4,7,1,0,2,1,50,138,Assertive
138,4,5,1,1,3,1,1,1,3,5,1,1,2,3,3,5,5,9,3,5,2,1,1,0,37,139,Balanced
139,3,1,3,3,1,5,3,5,3,5,1,1,2,3,4,7,2,3,2,3,1,0,2,1,37,140,Balanced
140,2,3,3,3,3,1,1,1,2,3,4,7,4,7,2,3,1,1,4,7,1,0,2,1,37,141,Balanced
141,4,5,2,2,3,1,3,5,4,7,4,7,2,3,2,3,4,7,2,3,2,1,1,0,44,142,Assertive
142,4,5,1,1,2,2,3,5,5,9,4,7,2,3,3,5,1,1,4,7,2,1,2,1,47,143,Assertive
143,5,3,3,3,1,5,4,7,2,3,3,5,2,3,1,1,4,7,4,7,1,0,2,1,45,144,Assertive
144,4,5,1,1,3,1,3,5,3,5,3,5,1,1,4,7,3,5,3,5,1,0,2,1,41,145,Balanced
145,3,1,5,7,3,1,4,7,4,7,4,7,2,3,1,1,2,3,2,3,2,1,2,1,42,146,Assertive
146,6,1,2,2,3,1,3,5,4,7,1,1,2,3,2,3,5,9,1,1,1,0,2,1,34,147,Balanced
147,4,5,3,3,2,2,2,3,3,5,3,5,3,5,2,3,1,1,2,3,2,1,2,1,37,148,Balanced
148,1,5,4,5,2,2,3,5,2,3,4,7,4,7,3,5,4,7,4,7,2,1,2,1,55,149,Aggressive
149,1,5,5,7,3,1,1,1,1,1,4,7,4,7,4,7,2,3,1,1,2,1,2,1,42,150,Assertive
150,5,3,2,2,1,5,3,5,5,9,2,3,4,7,4,7,5,9,1,1,2,1,2,1,53,151,Assertive
151,6,1,3,3,1,5,3,5,4,7,1,1,2,3,3,5,5,9,4,7,1,0,2,1,47,152,Assertive
152,1,5,4,5,1,5,4,7,2,3,2,3,4,7,1,1,4,7,1,1,2,1,2,1,46,153,Assertive
153,5,3,4,5,3,1,3,5,1,1,4,7,3,5,3,5,4,7,3,5,1,0,2,1,45,154,Assertive
154,6,1,3,3,3,1,2,3,5,9,1,1,1,1,3,5,4,7,2,3,1,0,1,0,34,155,Balanced
155,1,5,3,3,1,5,1,1,2,3,1,1,4,7,2,3,1,1,3,5,2,1,1,0,35,156,Balanced
156,2,3,1,1,1,5,3,5,2,3,3,5,2,3,1,1,2,3,1,1,1,0,2,1,31,157,Balanced
157,5,3,1,1,1,5,4,7,3,5,3,5,4,7,3,5,1,1,2,3,1,0,1,0,42,158,Assertive
158,4,5,2,2,2,2,2,3,4,7,2,3,3,5,3,5,2,3,4,7,1,0,1,0,42,159,Assertive
159,2,3,4,5,3,1,4,7,2,3,4,7,3,5,4,7,2,3,1,1,2,1,2,1,44,160,Assertive
160,5,3,1,1,3,1,2,3,3,5,4,7,3,5,4,7,4,7,1,1,1,0,2,1,41,161,Balanced
161,6,1,3,3,1,5,2,3,2,3,4,7,3,5,1,1,1,1,2,3,1,0,2,1,33,162,Balanced
162,2,3,1,1,3,1,4,7,2,3,3,5,3,5,2,3,1,1,3,5,1,0,2,1,35,163,Balanced
163,2,3,5,7,2,2,4,7,1,1,2,3,3,5,1,1,5,9,2,3,2,1,1,0,42,164,Assertive
164,5,3,1,1,2,2,2,3,4,7,1,1,1,1,1,1,5,9,1,1,1,0,2,1,30,165,Balanced
165,1,5,5,7,2,2,3,5,2,3,4,7,4,7,1,1,4,7,4,7,1,0,1,0,51,166,Assertive
166,1,5,5,7,1,5,4,7,2,3,4,7,4,7,4,7,1,1,4,7,2,1,1,0,57,167,Aggressive
167,5,3,4,5,1,5,2,3,3,5,3,5,2,3,1,1,1,1,4,7,1,0,2,1,39,168,Balanced
168,1,5,1,1,2,2,4,7,5,9,3,5,2,3,4,7,1,1,4,7,2,1,2,1,49,169,Assertive
169,2,3,4,5,1,5,1,1,1,1,4,7,3,5,4,7,4,7,1,1,2,1,1,0,43,170,Assertive
170,1,5,4,5,2,2,3,5,2,3,2,3,3,5,2,3,3,5,3,5,2,1,2,1,43,171,Assertive
171,4,5,1,1,1,5,3,5,4,7,2,3,3,5,2,3,2,3,1,1,1,0,2,1,39,172,Balanced
172,2,3,1,1,3,1,1,1,3,5,3,5,3,5,3,5,5,9,3,5,2,1,1,0,41,173,Balanced
173,5,3,2,2,2,2,4,7,4,7,2,3,3,5,2,3,3,5,4,7,1,0,2,1,45,174,Assertive
174,4,5,4,5,1,5,1,1,3,5,4,7,2,3,2,3,4,7,3,5,1,0,1,0,46,175,Assertive
175,1,5,5,7,1,5,2,3,3,5,2,3,2,3,1,1,3,5,3,5,2,1,1,0,43,176,Assertive
176,4,5,2,2,1,5,4,7,1,1,3,5,1,1,3,5,2,3,3,5,1,0,1,0,39,177,Balanced
177,4,5,5,7,3,1,4,7,1,1,1,1,1,1,3,5,3,5,3,5,1,0,2,1,39,178,Balanced
178,4,5,3,3,2,2,1,1,1,1,2,3,4,7,4,7,4,7,3,5,2,1,2,1,43,179,Assertive
179,6,1,2,2,1,5,4,7,3,5,4,7,4,7,4,7,2,3,1,1,1,0,2,1,46,180,Assertive
180,5,3,3,3,2,2,2,3,2,3,4,7,3,5,2,3,3,5,1,1,1,0,1,0,35,181,Balanced
181,1,5,4,5,1,5,2,3,5,9,1,1,1,1,3,5,5,9,3,5,1,0,1,0,48,182,Assertive
182,5,3,1,1,3,1,3,5,4,7,4,7,3,5,4,7,4,7,4,7,1,0,1,0,50,183,Assertive
183,3,1,4,5,1,5,4,7,2,3,2,3,2,3,4,7,4,7,1,1,1,0,2,1,43,184,Assertive
184,4,5,5,7,1,5,1,1,5,9,3,5,1,1,1,1,2,3,4,7,2,1,2,1,46,185,Assertive
185,4,5,1,1,1,5,4,7,4,7,2,3,3,5,2,3,1,1,2,3,1,0,2,1,41,186,Balanced
186,4,5,3,3,3,1,4,7,2,3,2,3,3,5,1,1,5,9,1,1,1,0,2,1,39,187,Balanced
187,4,5,1,1,1,5,3,5,1,1,1,1,1,1,4,7,5,9,1,1,2,1,1,0,37,188,Balanced
188,4,5,1,1,1,5,3,5,4,7,1,1,1,1,3,5,5,9,3,5,1,0,1,0,44,189,Assertive
189,3,1,4,5,3,1,1,1,4,7,4,7,2,3,3,5,1,1,3,5,2,1,2,1,38,190,Balanced
190,4,5,5,7,2,2,2,3,1,1,4,7,4,7,1,1,1,1,1,1,1,0,1,0,35,191,Balanced
191,4,5,2,2,2,2,1,1,4,7,4,7,1,1,1,1,3,5,3,5,2,1,2,1,38,192,Balanced
192,1,5,4,5,1,5,1,1,2,3,2,3,2,3,4,7,1,1,3,5,1,0,1,0,38,193,Balanced
193,5,3,5,7,2,2,3,5,4,7,3,5,2,3,3,5,1,1,3,5,1,0,2,1,44,194,Assertive
194,6,1,4,5,1,5,2,3,5,9,3,5,4,7,1,1,3,5,4,7,2,1,2,1,50,195,Assertive
195,5,3,2,2,1,5,2,3,2,3,1,1,2,3,3,5,3,5,3,5,2,1,2,1,37,196,Balanced
196,4,5,5,7,2,2,1,1,4,7,2,3,4,7,2,3,1,1,4,7,2,1,2,1,45,197,Assertive
197,5,3,3,3,3,1,2,3,2,3,3,5,2,3,3,5,4,7,3,5,1,0,1,0,38,198,Balanced
198,3,1,5,7,2,2,4,7,5,9,2,3,1,1,3,5,2,3,4,7,1,0,1,0,45,199,Assertive
199,2,3,2,2,1,5,3,5,1,1,4,7,1,1,2,3,2,3,4,7,2,1,2,1,39,200,Balanced
200,5,3,4,5,2,2,2,3,2,3,4,7,4,7,3,5,1,1,4,7,2,1,2,1,45,201,Assertive
201,3,1,5,7,3,1,2,3,5,9,2,3,2,3,2,3,5,9,4,7,1,0,2,1,47,202,Assertive
202,6,1,1,1,3,1,4,7,4,7,3,5,2,3,1,1,5,9,3,5,1,0,1,0,40,203,Balanced
203,6,1,2,2,1,5,4,7,1,1,1,1,1,1,1,1,2,3,4,7,2,1,2,1,31,204,Balanced
204,2,3,3,3,3,1,4,7,2,3,4,7,4,7,1,1,5,9,3,5,2,1,2,1,48,205,Assertive
205,5,3,1,1,2,2,1,1,3,5,4,7,2,3,3,5,4,7,3,5,1,0,2,1,40,206,Balanced
206,2,3,3,3,2,2,2,3,2,3,2,3,3,5,3,5,3,5,4,7,1,0,2,1,40,207,Balanced
207,3,1,2,2,1,5,1,1,4,7,1,1,3,5,3,5,4,7,2,3,2,1,1,0,38,208,Balanced
208,6,1,1,1,3,1,1,1,5,9,1,1,3,5,4,7,5,9,3,5,2,1,2,1,42,209,Assertive
209,2,3,4,5,1,5,4,7,4,7,1,1,4,7,2,3,4,7,2,3,1,0,2,1,49,210,Assertive
210,2,3,5,7,3,1,1,1,3,5,1,1,4,7,2,3,4,7,4,7,1,0,1,0,42,211,Assertive
211,4,5,3,3,3,1,3,5,3,5,1,1,2,3,1,1,1,1,3,5,2,1,2,1,32,212,Balanced
212,1,5,3,3,3,1,1,1,3,5,4,7,2,3,4,7,3,5,3,5,2,1,2,1,44,213,Assertive
213,3,1,1,1,3,1,1,1,1,1,2,3,2,3,3,5,1,1,1,1,2,1,2,1,20,214,Conservative
214,4,5,4,5,1,5,4,7,2,3,2,3,2,3,4,7,3,5,1,1,1,0,1,0,44,215,Assertive
215,5,3,2,2,2,2,1,1,1,1,4,7,4,7,1,1,2,3,4,7,2,1,1,0,35,216,Balanced
216,4,5,2,2,2,2,4,7,5,9,2,3,3,5,3,5,5,9,3,5,2,1,1,0,53,217,Assertive
217,5,3,3,3,2,2,4,7,3,5,2,3,4,7,2,3,2,3,2,3,2,1,2,1,41,218,Balanced
218,2,3,1,1,2,2,1,1,4,7,4,7,1,1,4,7,2,3,4,7,1,0,2,1,40,219,Balanced
219,6,1,5,7,3,1,2,3,1,1,2,3,1,1,1,1,3,5,1,1,1,0,1,0,24,220,Conservative
220,2,3,4,5,1,5,4,7,1,1,3,5,4,7,2,3,2,3,4,7,2,1,2,1,48,221,Assertive
221,3,1,1,1,2,2,1,1,1,1,4,7,2,3,2,3,5,9,4,7,2,1,1,0,36,222,Balanced
222,4,5,5,7,3,1,1,1,1,1,3,5,3,5,2,3,3,5,3,5,2,1,2,1,40,223,Balanced
223,6,1,2,2,1,5,3,5,1,1,3,5,2,3,4,7,3,5,3,5,2,1,2,1,41,224,Balanced
224,1,5,2,2,1,5,3,5,2,3,3,5,1,1,2,3,2,3,1,1,2,1,1,0,34,225,Balanced
225,5,3,5,7,1,5,4,7,4,7,3,5,2,3,1,1,1,1,2,3,1,0,1,0,42,226,Assertive
226,2,3,4,5,1,5,4,7,4,7,2,3,1,1,2,3,3,5,3,5,2,1,2,1,46,227,Assertive
227,4,5,5,7,2,2,3,5,4,7,2,3,1,1,4,7,4,7,1,1,1,0,2,1,46,228,Assertive
228,1,5,4,5,1,5,1,1,1,1,2,3,1,1,3,5,3,5,1,1,2,1,2,1,34,229,Balanced
229,4,5,2,2,3,1,1,1,2,3,2,3,4,7,4,7,3,5,2,3,1,0,2,1,38,230,Balanced
230,2,3,5,7,1,5,4,7,3,5,2,3,4,7,1,1,2,3,4,7,1,0,2,1,49,231,Assertive
231,5,3,3,3,3,1,2,3,3,5,3,5,4,7,2,3,1,1,4,7,1,0,1,0,38,232,Balanced
232,2,3,1,1,3,1,3,5,1,1,1,1,2,3,2,3,5,9,2,3,1,0,2,1,31,233,Balanced
