,nature,outlier,stocks
119,Balanced,[],"[15, 9]"
120,Assertive,[],[38]
121,Assertive,[],"[14, 55, 42, 38]"
122,Balanced,"[13, 31]","[13, 31, 53, 25]"
123,Balanced,[39],"[40, 34, 39]"
124,Assertive,[],[55]
125,Balanced,[],[44]
126,Balanced,[37],"[37, 29]"
127,Balanced,[39],"[47, 26, 39]"
128,Assertive,[],"[47, 51, 14]"
129,Assertive,[11],[11]
130,Balanced,[],"[40, 12, 46]"
131,Assertive,[],[44]
132,Assertive,[],"[31, 55]"
133,Balanced,[],"[26, 25, 29]"
134,Balanced,[],"[27, 36, 24, 48, 32]"
135,Balanced,[],"[42, 26]"
136,Assertive,[],[20]
137,Assertive,[],[24]
138,Assertive,[],[36]
139,Balanced,[],"[34, 44]"
140,Balanced,[],"[22, 47, 28, 48]"
141,Balanced,[39],[39]
142,Assertive,[],"[31, 29]"
143,Assertive,[],"[22, 59, 38]"
144,Assertive,[46],"[46, 22, 36, 30]"
145,Balanced,[33],"[33, 32, 28]"
146,Assertive,[39],[39]
147,Balanced,[43],"[43, 45, 27, 17, 34, 30]"
148,Balanced,[39],[39]
149,Aggressive,[],[25]
150,Assertive,[],[35]
151,Assertive,[],"[29, 21, 50]"
152,Assertive,[32],"[24, 32]"
153,Assertive,[],"[29, 20]"
154,Assertive,[],"[35, 30, 45, 52, 22, 31]"
155,Balanced,[],"[34, 21, 30, 23]"
156,Balanced,[],"[28, 35]"
157,Balanced,[31],"[31, 44, 36, 42]"
158,Assertive,"[41, 39]","[41, 14, 39]"
159,Assertive,"[41, 39]","[17, 41, 19, 39]"
160,Assertive,[],[50]
161,Balanced,[],[15]
162,Balanced,[],"[38, 25, 24, 35]"
163,Balanced,[],"[35, 21]"
164,Assertive,[37],"[24, 35, 22, 37]"
165,Balanced,[],"[15, 22, 35, 18]"
166,Assertive,[],[53]
167,Aggressive,"[23, 45]","[23, 45, 29, 60]"
168,Balanced,[43],"[24, 43]"
169,Assertive,[49],"[35, 49]"
170,Assertive,[43],"[30, 43]"
171,Assertive,[],"[42, 52]"
172,Balanced,[],"[12, 29]"
173,Balanced,[],"[21, 22]"
174,Assertive,[23],"[57, 21, 19, 23]"
175,Assertive,[],"[51, 42, 45]"
176,Assertive,[],"[47, 34, 55, 36, 44]"
177,Balanced,[],[26]
178,Balanced,[],"[14, 18]"
179,Assertive,[],[31]
180,Assertive,[],[50]
181,Balanced,[],"[40, 41]"
182,Assertive,"[49, 39]","[49, 18, 39, 56]"
183,Assertive,[43],[43]
184,Assertive,[],[40]
185,Assertive,[23],"[30, 23]"
186,Balanced,[],"[41, 21, 25]"
187,Balanced,[],"[52, 34, 30, 40]"
188,Balanced,[],[32]
189,Assertive,[],"[38, 35, 58]"
190,Balanced,[],"[40, 38, 15]"
191,Balanced,"[31, 37]","[31, 15, 37, 35]"
192,Balanced,[13],"[49, 13]"
193,Balanced,[],[19]
194,Assertive,"[46, 27, 49]","[19, 45, 46, 27, 49]"
195,Assertive,[],"[24, 7]"
196,Balanced,[31],"[21, 12, 40, 23, 31]"
197,Assertive,[23],"[53, 28, 38, 36, 23]"
198,Balanced,[33],"[25, 33]"
199,Assertive,[],"[20, 53]"
200,Balanced,[],"[30, 26]"
201,Assertive,"[27, 23]","[45, 16, 27, 23]"
202,Assertive,[],"[31, 29]"
203,Balanced,[],"[20, 7, 18]"
204,Balanced,"[37, 33]","[37, 33, 15]"
205,Assertive,[46],"[24, 28, 46, 30]"
206,Balanced,[],"[30, 23]"
207,Balanced,"[33, 39]","[32, 33, 39, 40]"
208,Balanced,"[31, 39]","[31, 39]"
209,Assertive,[],"[40, 5]"
210,Assertive,[],"[40, 47]"
211,Assertive,[],"[50, 36]"
212,Balanced,[],"[4, 48]"
213,Assertive,[],"[52, 35]"
214,Conservative,[40],[40]
215,Assertive,[32],"[40, 51, 29, 32, 28]"
216,Balanced,[],"[15, 29, 9]"
217,Assertive,[],[29]
218,Balanced,[37],"[27, 20, 54, 37, 48]"
219,Balanced,[31],"[21, 31]"
220,Conservative,"[38, 47]","[38, 36, 47]"
221,Assertive,[],[15]
222,Balanced,[],"[24, 7, 41]"
223,Balanced,[37],"[37, 51, 20, 27, 44, 32]"
224,Balanced,[43],"[26, 40, 49, 36, 43, 18, 53]"
225,Balanced,[],"[45, 35, 40, 50]"
226,Assertive,[27],"[45, 26, 27]"
227,Assertive,[32],"[42, 51, 36, 32]"
228,Assertive,[],"[29, 14, 50]"
229,Balanced,[39],"[28, 39, 38, 29]"
230,Balanced,[],"[29, 36, 34]"
231,Assertive,"[37, 49, 13]","[37, 59, 49, 54, 28, 13]"
232,Balanced,[],"[38, 18]"
233,Balanced,[],"[34, 19, 40, 57, 7, 41]"
234,Aggressive,"[48, 45]","[48, 45, 21]"
235,Balanced,[],"[26, 35]"
236,Assertive,[],"[48, 38]"
237,Balanced,"[39, 55, 43]","[25, 39, 55, 43]"
238,Balanced,[37],"[51, 37]"
239,Assertive,[],[26]
240,Balanced,"[31, 55]","[31, 29, 55, 36]"
241,Balanced,[39],"[51, 52, 39, 36, 12]"
242,Assertive,[],"[17, 44]"
243,Balanced,[43],"[16, 23, 44, 47, 43, 7, 51]"
244,Balanced,[39],"[20, 39]"
245,Balanced,[37],"[25, 16, 37, 41]"
246,Assertive,[],"[33, 45]"
247,Assertive,"[10, 32]","[29, 16, 10, 32]"
248,Balanced,[31],"[17, 47, 31]"
249,Balanced,[],"[54, 35, 44, 50]"
250,Balanced,[],[21]
251,Balanced,[],"[21, 35, 41]"
252,Assertive,[],[58]
253,Assertive,[],[34]
254,Assertive,[27],"[33, 25, 21, 27]"
255,Assertive,[],"[40, 47, 15]"
256,Balanced,[],"[18, 29, 5]"
257,Balanced,[],"[27, 48, 20, 49]"
258,Balanced,[39],"[41, 39, 15, 36, 27]"
259,Assertive,"[43, 10]","[43, 29, 47, 10]"
260,Assertive,[23],"[17, 23, 25]"
261,Assertive,"[27, 41, 39]","[21, 27, 41, 39, 18]"
262,Balanced,[43],"[32, 58, 21, 24, 22, 43]"
263,Assertive,[],"[40, 44]"
264,Assertive,[],"[15, 38, 33, 36]"
265,Assertive,"[23, 13, 41]","[31, 23, 13, 29, 30, 41]"
266,Balanced,[37],"[37, 23]"
267,Balanced,[],"[19, 8, 29, 50, 24]"
268,Balanced,[],[15]
269,Assertive,[27],"[28, 35, 27]"
270,Conservative,[],"[28, 27]"
271,Balanced,[],"[30, 28, 40, 35]"
272,Assertive,[23],"[16, 15, 23]"
273,Balanced,[],"[14, 34, 28, 46, 41]"
274,Balanced,"[37, 11]","[27, 37, 14, 24, 11, 42, 44]"
275,Assertive,[39],"[39, 31]"
276,Assertive,[32],[32]
277,Assertive,[23],"[20, 18, 22, 6, 19, 56, 21, 23]"
278,Balanced,[],"[41, 46]"
279,Balanced,[60],"[28, 60, 8, 19]"
280,Balanced,[31],"[38, 31, 53]"
281,Assertive,[43],"[45, 20, 19, 43]"
282,Balanced,[],"[40, 34]"
283,Balanced,[],"[35, 20]"
284,Balanced,[33],"[33, 29, 28]"
285,Balanced,"[43, 13]","[32, 36, 43, 13]"
286,Assertive,[],"[42, 30, 44]"
287,Assertive,"[37, 12]","[25, 37, 12]"
288,Assertive,"[10, 39]","[10, 39, 22, 52, 4]"
289,Balanced,[],"[30, 14, 21, 26]"
290,Assertive,[12],"[12, 18]"
291,Assertive,[],"[42, 40, 19]"
292,Assertive,[],"[20, 21]"
293,Balanced,[],[22]
294,Assertive,[27],"[36, 27]"
295,Balanced,[],[20]
296,Balanced,[43],"[44, 43, 42, 21, 29, 40]"
297,Balanced,[],"[42, 32, 15]"
298,Assertive,"[23, 37, 41]","[23, 38, 34, 37, 41, 22]"
299,Balanced,"[33, 37]","[33, 37]"
300,Assertive,"[32, 43, 49]","[32, 42, 43, 20, 16, 31, 49]"
301,Balanced,[],[35]
302,Balanced,[37],"[30, 22, 19, 37, 47]"
303,Assertive,[10],"[18, 10]"
304,Aggressive,"[32, 24]","[33, 32, 55, 24]"
305,Balanced,[],"[20, 24]"
306,Balanced,[37],[37]
307,Assertive,[9],"[9, 21, 52, 25, 44, 38]"
308,Assertive,[],"[28, 26, 18]"
309,Assertive,[43],"[43, 31]"
310,Balanced,[],"[44, 29]"
311,Balanced,[],"[47, 26, 57]"
312,Balanced,[13],"[38, 29, 41, 13, 21]"
313,Assertive,"[32, 27]","[32, 28, 27]"
314,Assertive,[],"[54, 31, 33]"
315,Balanced,[],"[26, 49]"
316,Balanced,[],"[26, 44, 25, 50]"
317,Assertive,[23],"[23, 35]"
318,Balanced,[],"[41, 30]"
319,Balanced,[],"[40, 48]"
320,Balanced,[],"[21, 8]"
321,Balanced,[33],"[21, 33, 26]"
322,Balanced,[],"[46, 15, 41]"
323,Balanced,"[33, 37, 31]","[33, 16, 32, 37, 31]"
324,Assertive,[],"[19, 40, 25]"
325,Balanced,[39],"[28, 36, 40, 39, 53]"
326,Balanced,[],"[36, 42, 40]"
327,Balanced,[39],"[32, 39]"
328,Assertive,[39],"[18, 34, 39]"
329,Assertive,"[49, 41, 39]","[31, 35, 49, 17, 54, 41, 39]"
330,Assertive,[],"[34, 47]"
331,Balanced,[],"[25, 27, 35, 48]"
332,Balanced,[],[32]
333,Balanced,[],"[16, 35, 24]"
334,Balanced,[],"[42, 26, 9]"
335,Balanced,[],"[12, 28, 16]"
336,Balanced,[],"[38, 44, 24, 41]"
337,Balanced,[],"[19, 51, 29]"
338,Balanced,[],[34]
339,Balanced,[],"[41, 47, 28, 32]"
340,Assertive,"[11, 27]","[11, 47, 24, 27]"
341,Balanced,[],[41]
342,Assertive,[43],"[43, 22, 21, 8]"
343,Assertive,"[11, 9]","[11, 9, 48]"
344,Balanced,[],"[30, 15, 32, 46]"
345,Balanced,[6],"[6, 49, 27]"
346,Assertive,[46],"[31, 46, 30]"
347,Balanced,[33],"[41, 46, 33]"
348,Balanced,[],[30]
349,Assertive,[],"[34, 29, 36, 21]"
350,Assertive,[],"[34, 15, 26, 30, 31]"
351,Balanced,[39],"[22, 39]"
352,Balanced,[],"[14, 41]"
353,Assertive,[10],"[40, 29, 10]"
354,Assertive,"[23, 49]","[23, 40, 49, 20, 47, 29]"
355,Balanced,[],"[32, 36, 20, 40]"
356,Balanced,[31],"[27, 45, 25, 52, 31]"
357,Balanced,[],[40]
358,Balanced,[43],"[28, 44, 43]"
359,Conservative,"[57, 50, 29, 39]","[46, 57, 50, 29, 39]"
360,Balanced,[],"[53, 29]"
361,Balanced,"[33, 43, 11]","[33, 27, 43, 42, 11]"
362,Balanced,[37],"[28, 46, 30, 12, 37, 23]"
363,Assertive,[10],"[10, 16, 31]"
364,Balanced,[37],"[36, 35, 44, 19, 7, 54, 37]"
365,Balanced,[],[22]
366,Assertive,[23],"[36, 38, 33, 23]"
367,Assertive,"[10, 27]","[10, 20, 28, 27, 14]"
368,Assertive,"[43, 46]","[29, 18, 40, 43, 46]"
369,Balanced,"[39, 11]","[14, 20, 22, 39, 54, 11]"
370,Balanced,[],[46]
371,Aggressive,"[27, 45, 18, 46, 48]","[27, 44, 45, 22, 18, 46, 57, 48]"
372,Assertive,[],"[18, 28, 40, 36]"
373,Balanced,[],"[36, 42, 29]"
374,Assertive,[],"[29, 53]"
375,Balanced,[],[46]
376,Assertive,"[43, 37]","[34, 43, 37, 33]"
377,Balanced,[],"[32, 30, 46, 47]"
378,Balanced,[11],"[34, 32, 30, 41, 11]"
379,Balanced,[37],"[46, 52, 35, 37]"
380,Balanced,"[39, 31]","[19, 30, 28, 39, 31, 26]"
381,Balanced,[39],"[36, 39, 28, 21]"
382,Balanced,[],"[40, 46, 18]"
383,Balanced,[33],"[33, 58, 23]"
384,Assertive,[39],"[30, 44, 39, 17]"
385,Aggressive,"[51, 18, 19]","[51, 42, 43, 18, 19]"
386,Assertive,"[23, 32, 46]","[23, 32, 34, 40, 38, 46]"
387,Balanced,[],"[38, 25, 19, 47]"
388,Assertive,[],"[56, 40, 45]"
389,Assertive,[],"[44, 21, 25]"
390,Assertive,[41],"[41, 24, 34]"
391,Balanced,[13],"[44, 36, 13]"
392,Assertive,[39],"[28, 33, 39, 21]"
393,Assertive,[41],"[34, 44, 41]"
394,Balanced,[],"[56, 42, 7]"
395,Assertive,"[32, 39, 46]","[32, 59, 20, 39, 46, 48]"
396,Balanced,[],"[28, 41, 35, 47, 24, 17, 10]"
397,Balanced,[37],"[34, 49, 26, 29, 23, 37]"
398,Balanced,"[31, 37]","[21, 31, 50, 32, 38, 25, 37, 30]"
399,Aggressive,[30],[30]
400,Assertive,[],[29]
401,Assertive,[],"[34, 26, 24]"
402,Balanced,[43],"[43, 4, 50]"
403,Balanced,[39],"[39, 17, 36, 28]"
404,Balanced,[],"[48, 5]"
405,Balanced,[39],"[28, 42, 22, 39, 41, 27, 24]"
406,Conservative,"[14, 38]","[14, 38]"
407,Balanced,"[39, 37]","[39, 21, 28, 9, 37]"
408,Balanced,"[37, 39]","[21, 42, 37, 15, 45, 39, 17, 24]"
409,Assertive,"[32, 27]","[32, 36, 19, 42, 27]"
410,Balanced,[],"[52, 25, 10, 44]"
411,Assertive,[12],"[12, 6]"
412,Assertive,[],"[21, 19, 35]"
413,Balanced,[31],"[9, 28, 31, 45]"
414,Assertive,[],"[48, 33, 26]"
415,Balanced,[],"[23, 48, 30]"
416,Balanced,[],"[35, 44]"
417,Assertive,[],"[15, 47, 36]"
418,Aggressive,"[23, 24]","[29, 23, 24, 33, 35, 42, 47]"
419,Balanced,[],"[53, 52, 27, 26]"
420,Balanced,[43],"[43, 45, 27, 46, 38, 26]"
421,Assertive,"[41, 32]","[35, 38, 42, 22, 41, 32]"
422,Balanced,"[33, 11]","[12, 16, 33, 11]"
423,Assertive,[11],"[11, 56]"
424,Assertive,"[37, 43]","[37, 43]"
425,Balanced,"[33, 55]","[26, 33, 50, 23, 36, 55]"
426,Balanced,[],"[41, 20]"
427,Balanced,[],"[30, 52, 35]"
428,Assertive,"[41, 23]","[44, 41, 23]"
429,Balanced,[39],"[46, 28, 23, 41, 27, 45, 39]"
430,Balanced,[],"[41, 22, 32, 35]"
431,Assertive,"[27, 39]","[15, 27, 25, 30, 39, 29, 40, 55]"
432,Balanced,"[43, 33]","[43, 50, 33, 18]"
433,Balanced,[43],"[32, 23, 47, 43, 42, 12]"
434,Balanced,[33],"[9, 33, 15, 35, 19, 30, 47]"
435,Balanced,[],"[47, 38]"
436,Assertive,[],"[45, 15, 22, 50, 29]"
437,Balanced,[31],"[28, 30, 14, 31, 46, 35]"
438,Balanced,[13],"[13, 40, 15]"
439,Assertive,[],"[38, 17, 40]"
440,Assertive,"[32, 46]","[18, 5, 32, 46, 45, 48, 35, 14]"
441,Assertive,[13],"[30, 25, 54, 13, 18]"
442,Balanced,[43],"[36, 28, 43, 52, 19]"
443,Balanced,[33],"[29, 32, 33, 22, 41]"
444,Assertive,[37],"[38, 37, 6]"
445,Assertive,"[9, 39]","[9, 20, 39, 40, 45]"
446,Assertive,"[37, 39]","[37, 44, 39]"
447,Assertive,[43],[43]
448,Assertive,[],"[31, 28, 20, 30, 26]"
449,Balanced,[],"[47, 28]"
450,Aggressive,[28],"[28, 29, 20, 31, 22]"
451,Balanced,[],"[32, 9, 24, 44]"
452,Balanced,[31],"[38, 31, 15, 22]"
453,Assertive,[37],"[37, 25, 16]"
454,Assertive,[23],"[17, 23, 33]"
455,Assertive,[11],"[33, 50, 29, 11, 51]"
456,Balanced,[43],"[34, 43, 57, 17, 36, 46]"
457,Balanced,[],[21]
458,Balanced,[],"[36, 24, 22, 38]"
459,Assertive,[],"[33, 25, 36, 44]"
460,Balanced,[],"[20, 12, 48, 27, 19]"
461,Assertive,"[32, 43]","[29, 32, 43, 34, 25, 28]"
462,Assertive,"[49, 27, 10]","[33, 21, 49, 27, 10, 24]"
463,Balanced,"[33, 11]","[16, 33, 11, 41, 44]"
464,Assertive,[37],"[31, 37, 33, 22]"
465,Conservative,"[26, 43]","[28, 26, 19, 43]"
466,Balanced,"[31, 33]","[30, 41, 53, 31, 33]"
467,Balanced,[],[15]
468,Assertive,"[46, 27]","[46, 45, 27, 20, 40, 21, 35, 31]"
469,Assertive,[],"[24, 19, 48]"
470,Assertive,[46],"[31, 34, 46, 18]"
471,Aggressive,"[28, 32, 16]","[37, 28, 20, 22, 26, 32, 17, 16]"
472,Balanced,[39],"[39, 48, 32, 19]"
473,Balanced,[],"[49, 19, 38, 30, 28, 26]"
474,Assertive,"[23, 13]","[23, 13, 14, 42]"
475,Assertive,"[46, 23]","[28, 7, 46, 23, 20]"
476,Balanced,[],"[32, 27, 44]"
477,Assertive,[37],"[17, 37, 25]"
478,Assertive,[39],"[39, 38, 47, 8]"
479,Assertive,[],"[24, 7, 55]"
480,Balanced,[],"[41, 30, 28]"
481,Balanced,[],[34]
482,Conservative,"[38, 26, 42, 29]","[38, 26, 18, 41, 42, 29]"
483,Balanced,[],"[34, 41]"
484,Balanced,[],"[48, 44, 23, 22]"
485,Balanced,[],"[19, 40, 29, 32]"
486,Balanced,[],"[38, 32, 25]"
487,Assertive,"[39, 23]","[39, 23]"
488,Balanced,[37],"[29, 21, 27, 26, 16, 37]"
489,Balanced,[],"[42, 38, 30, 51, 29]"
490,Assertive,[],[16]
491,Balanced,[],"[21, 52, 35]"
492,Balanced,[39],"[52, 39, 14, 22]"
493,Balanced,"[11, 43]","[35, 47, 30, 29, 11, 46, 27, 28, 20, 43]"
494,Balanced,[],"[38, 28, 22, 27]"
495,Conservative,[],"[46, 36, 56]"
496,Balanced,[31],"[31, 18, 23, 21, 42]"
497,Balanced,[],"[23, 15, 28]"
498,Assertive,[43],"[38, 43, 33, 19]"
499,Assertive,[],"[24, 21, 25, 17]"
500,Balanced,[39],"[39, 17, 23]"
501,Assertive,[11],"[11, 8, 55, 48]"
502,Balanced,[31],"[23, 31, 53, 36, 4, 29]"
503,Assertive,[],"[45, 36]"
504,Balanced,"[33, 31]","[18, 38, 33, 36, 51, 20, 31]"
505,Balanced,[39],"[19, 36, 39, 18, 14, 40, 38]"
506,Balanced,[33],"[38, 33, 30, 44, 8, 52]"
507,Balanced,[33],[33]
508,Aggressive,"[10, 51, 27]","[10, 29, 51, 25, 27]"
509,Balanced,[33],"[44, 33, 15, 59]"
510,Assertive,"[27, 32, 23]","[29, 27, 36, 32, 23]"
511,Assertive,[32],"[44, 40, 26, 28, 17, 32]"
512,Balanced,[31],"[41, 38, 35, 32, 27, 10, 16, 31]"
513,Balanced,[39],"[12, 39, 27, 32, 23, 56]"
514,Balanced,[],"[35, 23, 24, 38, 42, 20, 22, 16]"
515,Assertive,"[37, 23, 39]","[37, 23, 39, 33]"
516,Aggressive,"[30, 45, 19, 23]","[30, 45, 19, 23]"
517,Assertive,"[49, 37]","[49, 15, 24, 54, 37, 42, 47]"
518,Balanced,[37],"[42, 27, 25, 22, 37, 34, 46]"
519,Assertive,[32],"[33, 53, 47, 25, 32, 20]"
520,Balanced,[],"[23, 24, 42]"
521,Assertive,[37],"[34, 37, 26]"
522,Balanced,[],"[53, 5, 29]"
523,Balanced,[39],"[44, 21, 29, 39]"
524,Assertive,"[43, 10, 46, 9]","[42, 43, 10, 46, 9]"
525,Assertive,[37],"[28, 37]"
526,Balanced,[43],"[16, 24, 43, 35]"
527,Balanced,"[37, 33]","[21, 37, 17, 44, 33]"
528,Assertive,[32],"[32, 35, 30, 18]"
529,Balanced,[],"[54, 25, 42]"
530,Balanced,[],"[24, 42]"
531,Balanced,[],"[18, 52, 30, 42, 29]"
532,Balanced,[39],"[34, 39, 20]"
533,Balanced,[33],"[29, 33, 22, 45]"
534,Assertive,[],"[20, 18, 53, 34, 51, 56, 17]"
535,Balanced,[],"[34, 41, 29, 36, 26, 44, 47, 28, 20]"
536,Assertive,[],"[38, 35, 48]"
537,Balanced,[39],"[41, 17, 24, 39, 44, 47]"
538,Assertive,[27],"[25, 20, 38, 59, 44, 35, 27]"
539,Balanced,[37],"[57, 7, 36, 37, 21, 30]"
540,Balanced,[43],"[36, 43, 16, 30, 23]"
541,Assertive,[],"[50, 35, 38, 36, 21]"
542,Assertive,[13],"[7, 25, 13, 18, 42, 56]"
543,Balanced,[],"[29, 20]"
544,Assertive,"[39, 27, 46, 32]","[26, 39, 42, 38, 27, 28, 45, 46, 32]"
545,Balanced,[13],"[53, 35, 59, 56, 30, 13, 23, 42]"
546,Assertive,[],"[31, 21, 33]"
547,Assertive,[],"[16, 22, 31]"
548,Assertive,"[41, 23]","[18, 41, 23, 38]"
549,Balanced,[],"[35, 23]"
550,Assertive,[23],"[36, 23, 56]"
551,Assertive,[49],"[36, 38, 49]"
552,Assertive,[],"[36, 44, 25]"
553,Balanced,[],"[34, 50, 27, 29]"
554,Balanced,"[31, 33, 39]","[45, 31, 29, 42, 33, 39, 32, 36, 51]"
555,Assertive,[],"[29, 35]"
556,Balanced,[37],"[9, 27, 36, 53, 37]"
557,Balanced,[],"[21, 27, 14]"
558,Balanced,[],"[27, 30, 40, 36, 21]"
559,Conservative,"[47, 11]","[47, 11]"
560,Balanced,[],"[12, 7, 24]"
561,Balanced,"[37, 33]","[34, 38, 37, 57, 33, 24]"
562,Assertive,[],"[29, 33, 28, 40]"
563,Balanced,[],"[27, 51]"
564,Aggressive,[27],"[21, 27, 25]"
565,Assertive,"[60, 23]","[60, 38, 28, 23, 34, 35, 22]"
566,Balanced,[39],"[44, 26, 39, 38, 20, 47]"
567,Balanced,[11],"[48, 41, 42, 56, 11, 20, 23]"
568,Assertive,"[49, 27]","[42, 49, 27, 26]"
569,Assertive,[41],"[50, 34, 41, 36]"
570,Balanced,[39],"[51, 27, 39, 19, 40]"
571,Conservative,"[29, 39]","[29, 39]"
572,Assertive,"[37, 12, 27]","[37, 12, 27, 42, 28, 44]"
573,Balanced,[],"[53, 34, 54, 19, 29, 32]"
574,Balanced,[],"[28, 12, 27, 41, 20]"
575,Assertive,"[27, 49, 32]","[27, 44, 42, 53, 49, 32]"
576,Balanced,"[43, 31]","[17, 21, 43, 36, 18, 31]"
577,Balanced,[43],"[42, 24, 36, 34, 43, 26]"
578,Assertive,[],"[14, 30, 18, 54]"
579,Balanced,[37],"[19, 32, 18, 34, 37]"
580,Balanced,[],"[53, 16, 49, 48, 34]"
581,Balanced,"[37, 11]","[37, 29, 11, 42, 24]"
582,Aggressive,"[28, 10, 41]","[22, 28, 44, 10, 41]"
583,Assertive,[],"[34, 31, 50, 33, 40]"
584,Balanced,[],"[51, 23, 34, 36, 19]"
585,Assertive,"[39, 43]","[30, 16, 39, 40, 43]"
586,Balanced,[],"[44, 25, 34, 46]"
587,Balanced,"[33, 60, 37]","[33, 21, 15, 28, 51, 60, 37]"
588,Balanced,"[39, 31]","[40, 36, 46, 39, 31, 38]"
589,Balanced,[],"[32, 19, 5]"
590,Balanced,[13],"[26, 13, 40, 44]"
591,Balanced,[],"[10, 34, 24]"
592,Assertive,[],"[44, 25, 42, 34, 19, 35]"
593,Assertive,[46],"[18, 26, 46, 17, 36, 25]"
594,Balanced,[37],"[47, 42, 37, 22, 20]"
595,Assertive,"[41, 32]","[29, 41, 32, 20, 22]"
596,Assertive,[],[38]
597,Assertive,[46],"[26, 35, 46, 57, 33]"
598,Balanced,[37],"[38, 37, 40]"
599,Assertive,"[32, 23]","[32, 31, 42, 23, 21, 33, 28]"
600,Assertive,[],"[45, 55, 36, 42, 24, 35, 38, 34]"
601,Balanced,"[37, 31]","[25, 29, 28, 37, 15, 19, 31]"
602,Balanced,[],"[35, 26, 36]"
603,Assertive,[39],"[26, 31, 39, 57]"
604,Balanced,"[60, 37]","[29, 38, 60, 37, 44, 49]"
605,Conservative,"[25, 29]","[25, 29]"
606,Assertive,[],"[42, 25, 38, 6, 29]"
607,Assertive,"[46, 23, 13]","[28, 46, 23, 54, 29, 13]"
608,Assertive,"[12, 11, 32]","[12, 11, 31, 42, 32]"
